hour,tasks_played
2025-11-23 11:00:00+00,240
2025-11-23 10:00:00+00,277
2025-11-23 09:00:00+00,692
2025-11-23 08:00:00+00,664
2025-11-23 07:00:00+00,773
2025-11-23 06:00:00+00,246
2025-11-23 02:00:00+00,50
2025-11-23 01:00:00+00,65
2025-11-23 00:00:00+00,184
2025-11-22 23:00:00+00,1344
2025-11-22 22:00:00+00,5190
2025-11-22 21:00:00+00,2720
2025-11-22 20:00:00+00,2071
2025-11-22 19:00:00+00,109
2025-11-22 18:00:00+00,239
2025-11-22 17:00:00+00,200
2025-11-22 16:00:00+00,78
